title,publication_year,authors_list,doi,crossref_type,key
The evolving landscape of digital mental health: implications for research and practice,2021,"E. M. Seabrook, M. Nedeljkovic",10.1080/13284207.2021.1977157,journal-article,researchgraph.com/doi/10.1080/13284207.2021.1977157
A call to implement a multi-systems approach to suicide prevention in the justice system,2021,"Melanie L Simmons, Stuart Lee, Michelle Torok, Nina Papalia",10.1177/00048674211013098,journal-article,researchgraph.com/doi/10.1177/00048674211013098
Using the Dynamic Appraisal of Situational Aggression (DASA) to assess the impact of unit atmosphere on violence risk assessment,2023,"Melanie L. Simmons, Tessa Maguire, James R. P. Ogloff, Jessica Gabriel, Michael Daffern",10.1111/jpm.12913,journal-article,researchgraph.com/doi/10.1111/jpm.12913
Glutamatergic neurotransmission in schizophrenia: A systematic review and quantitative synthesis of proton magnetic resonance spectroscopy studies across schizophrenia spectrum disorders,2024,"Jamie J Lopes, Sean P Carruthers, Denny Meyer, Brian Dean, Susan L Rossell",10.1177/00048674241254216,journal-article,researchgraph.com/doi/10.1177/00048674241254216
A systematic review of the use of in-vehicle telematics in monitoring driving behaviours,2024,"James Boylan, Denny Meyer, Won Sun Chen",10.1016/j.aap.2024.107519,journal-article,researchgraph.com/doi/10.1016/j.aap.2024.107519
Systematic Review of Empathic Conversational Agent Platform Designs and their Evaluation in the Context of Mental Health. (Preprint),2024,"Ruvini Mapa, Denny Meyer, Ravi Iyer, Pragalathan Apputhurai, Nilmini Wickramasinghe",10.2196/preprints.58974,posted-content,researchgraph.com/doi/10.2196/preprints.58974
Youth violence assessment instruments: are they sensitive to change and are changes related to recidivism?,2021,"Li Lian Koh, Andrew Day, Bianca Klettke, Michael Daffern, Chi Meng Chu",10.1080/1068316x.2021.1909019,journal-article,researchgraph.com/doi/10.1080/1068316x.2021.1909019
An Exploration of Risk and Protective Characteristics of Violent Youth Offenders in Singapore across Adolescent Developmental Stages,2021,"Li Lian Koh, Andrew Day, Bianca Klettke, Michael Daffern, Chi Meng Chu",10.1080/14999013.2021.1886203,journal-article,researchgraph.com/doi/10.1080/14999013.2021.1886203
Aggressive script rehearsal in adult offenders: Relationships with emotion regulation difficulties and aggressive behavior,2021,"Julia Hosie, Ashley Lauren Dunne, Denny Meyer, Michael Daffern",10.1002/ab.22000,journal-article,researchgraph.com/doi/10.1002/ab.22000
Remote forensic evaluations and treatment in the time of COVID-19: An international survey of psychologists and psychiatrists.,2021,"Michael Daffern, Daniel E. Shea, James R. P. Ogloff",10.1037/law0000308,journal-article,researchgraph.com/doi/10.1037/law0000308
Testing a <scp>recovery‐oriented</scp> nursing communication framework to encourage collaboration and discussion about aggression prevention: A mixed methods study,2024,"Laura Scheirich, Tessa Maguire, Michael Daffern",10.1111/inm.13325,journal-article,researchgraph.com/doi/10.1111/inm.13325
"The Personality Inventory for <i>DSM-5</i>–Brief Form: An Examination of Internal Consistency, Factor Structure, and Relationship to Aggression in an Incarcerated Offender Sample",2021,"Ashley L. Dunne, Justin S. Trounson, Jason Skues, Jeff E. Pfeifer, James R. P. Ogloff, Michael Daffern",10.1177/1073191120916790,journal-article,researchgraph.com/doi/10.1177/1073191120916790
"Exposure to unwanted intrusions, neutralizing and their effects on self-worth and obsessive-compulsive phenomena",2015,"Claire Ahern, Michael Kyrios, Denny Meyer",10.1016/j.jbtep.2015.07.008,journal-article,researchgraph.com/doi/10.1016/j.jbtep.2015.07.008
Training Postgraduate Psychology Students to Deliver Psychological Services Online,2011,"Kerrie Shandley, Britt Klein, Michael Kyrios, David Austin, Lisa Ciechomski, Greg Murray",10.1111/j.1742-9544.2011.00034.x,journal-article,researchgraph.com/doi/10.1111/j.1742-9544.2011.00034.x
Anxiety Online—A Virtual Clinic: Preliminary Outcomes Following Completion of Five Fully Automated Treatment Programs for Anxiety Disorders and Symptoms,2011,"Britt Klein, Denny Meyer, David William Austin, Michael Kyrios",10.2196/jmir.1918,journal-article,researchgraph.com/doi/10.2196/jmir.1918
Online mindfulness-based intervention for late-stage bipolar disorder: pilot evidence for feasibility and effectiveness,2015,"G. Murray, N.D. Leitan, M. Berk, N. Thomas, E. Michalak, L. Berk, S.L. Johnson, S. Jones, T. Perich, N.B. Allen, Michael Kyrios",10.1016/j.jad.2015.02.024,journal-article,researchgraph.com/doi/10.1016/j.jad.2015.02.024
IAAP Handbook of Applied Psychology,2011,"Michael Kyrios, Fanny M. Cheung",10.1002/9781444395150,edited-book,researchgraph.com/doi/10.1002/9781444395150
Long-term behavioral and NMDA receptor effects of young-adult corticosterone treatment in BDNF heterozygous mice,2012,"Maren Klug, Rachel A. Hill, Kwok Ho Christopher Choy, Michael Kyrios, Anthony J. Hannan, Maarten van den Buuse",10.1016/j.nbd.2012.03.015,journal-article,researchgraph.com/doi/10.1016/j.nbd.2012.03.015
Using theories of delusion formation to explain abnormal beliefs in Body Dysmorphic Disorder (BDD),2014,"Susan L. Rossell, Izelle Labuschagne, Judy Dunai, Michael Kyrios, David J. Castle",10.1016/j.psychres.2013.12.030,journal-article,researchgraph.com/doi/10.1016/j.psychres.2013.12.030
Anxiety Disorders in Primary Care,2014,Michael Kyrios,10.1002/9781118775349.ch5,other,researchgraph.com/doi/10.1002/9781118775349.ch5
Obsessive-compulsive disorder and comorbid depression: The role of OCD-related and non-specific factors,2012,"Keong Yap, Christopher Mogan, Michael Kyrios",10.1016/j.janxdis.2012.03.002,journal-article,researchgraph.com/doi/10.1016/j.janxdis.2012.03.002
Neuropsychological Changes Following Cognitive-Behavioral Treatment of Obsessive-Compulsive Disorder (OCD),2011,"Maja Nedeljkovic, Michael Kyrios, Richard Moulding, Guy Doron",10.1521/ijct.2011.4.1.8,journal-article,researchgraph.com/doi/10.1521/ijct.2011.4.1.8
Experimental analysis of the relationship between depressed mood and compulsive buying,2013,"Michael Kyrios, Paul McQueen, Richard Moulding",10.1016/j.jbtep.2012.10.004,journal-article,researchgraph.com/doi/10.1016/j.jbtep.2012.10.004
Self-Ambivalence in the Cognitive-Behavioural Treatment of Obsessive-Compulsive Disorder,2015,"Sunil S. Bhar, Michael Kyrios, Celia Hordern",10.1159/000438676,journal-article,researchgraph.com/doi/10.1159/000438676
Cultural Issues in Understanding and Treating Obsessive Compulsive and Spectrum Disorders,2012,"Maja Nedeljkovic, Richard Moulding, Elham Foroughi, Michael Kyrios, Guy Doron",10.1093/oxfordhb/9780195376210.013.0102,book,researchgraph.com/doi/10.1093/oxfordhb/9780195376210.013.0102
Phenomenology of hoarding—What is hoarded by individuals with hoarding disorder?,2012,"Christopher Mogan, Michael Kyrios, Isaac Schweitzer, Keong Yap, Richard Moulding",10.1016/j.jocrd.2012.08.002,journal-article,researchgraph.com/doi/10.1016/j.jocrd.2012.08.002
When moral concerns become a psychological disorder: The case of obsessive–compulsive disorder.,2012,"Guy Doron, Dar Sar-El, Mario Mikulincer, Michael Kyrios",10.1037/13091-016,book-chapter,researchgraph.com/doi/10.1037/13091-016
Efficacy of cognitive-behavioral therapy for obsessive–compulsive disorder,2015,"Dean McKay, Debbie Sookman, Fugen Neziroglu, Sabine Wilhelm, Dan J. Stein, Michael Kyrios, Keith Matthews, David Veale",10.1016/j.psychres.2015.02.004,journal-article,researchgraph.com/doi/10.1016/j.psychres.2015.02.004
Improving mental health of adolescents with Type 1 diabetes: protocol for a randomized controlled trial of the Nothing Ventured Nothing Gained online adolescent and parenting support intervention,2013,"Naomi J Hackworth, Jan Matthews, Kylie Burke, Zvezdana Petrovic, Britt Klein, Elisabeth A Northam, Michael Kyrios, Lisa Chiechomski, Fergus J Cameron",10.1186/1471-2458-13-1185,journal-article,researchgraph.com/doi/10.1186/1471-2458-13-1185
The relationship between body dysmorphic disorder symptoms and self‐construals,2011,"Bianca Phillips, Richard Moulding, Michael Kyrios, Maja Nedeljkovic, Serafino Mancuso",10.1111/j.1742-9552.2011.00004.x,journal-article,researchgraph.com/doi/10.1111/j.1742-9552.2011.00004.x
Self-Based Concepts and Obsessive-Compulsive Phenomena,2015,"Claire Ahern, Michael Kyrios, Richard Moulding",10.1159/000437333,journal-article,researchgraph.com/doi/10.1159/000437333
Adult attachment insecurities are associated with obsessive compulsive disorder,2011,"Guy Doron, Richard Moulding, Maja Nedeljkovic, Michael Kyrios, Mario Mikulincer, Dar Sar‐El",10.1111/j.2044-8341.2011.02028.x,journal-article,researchgraph.com/doi/10.1111/j.2044-8341.2011.02028.x
Front Matter,2011,Michael Kyrios,10.1002/9781444395150.fmatter,other,researchgraph.com/doi/10.1002/9781444395150.fmatter
The Self-Regulation of Gambling,2011,"Susan M. Moore, Anna C. Thomas, Michael Kyrios, Glen Bates",10.1007/s10899-011-9265-x,journal-article,researchgraph.com/doi/10.1007/s10899-011-9265-x
Problem Gambling Among International and Domestic University Students in Australia: Who is at Risk?,2012,"Susan M. Moore, Anna C. Thomas, Sudhir Kalé, Mark Spence, Natalina Zlatevska, Petra K. Staiger, Joseph Graffam, Michael Kyrios",10.1007/s10899-012-9309-x,journal-article,researchgraph.com/doi/10.1007/s10899-012-9309-x
A clinician's quick guide of evidence‐based approaches: Obsessive–compulsive disorder,2014,"Michael Kyrios, Richard Moulding, Sunil Bhar",10.1111/cp.12041,journal-article,researchgraph.com/doi/10.1111/cp.12041
Improving the retention rate for residential treatment of substance abuse by sequential intervention for social anxiety,2014,"Petra K Staiger, Michael Kyrios, James S Williams, Nicolas Kambouropoulos, Alexandra Howard, Stefan Gruenert",10.1186/1471-244x-14-43,journal-article,researchgraph.com/doi/10.1186/1471-244x-14-43
A comparison of executive function in Body Dysmorphic Disorder (BDD) and Obsessive-Compulsive Disorder (OCD),2013,"I. Labuschagne, S.L. Rossell, J. Dunai, D.J. Castle, M. Kyrios",10.1016/j.jocrd.2013.05.003,journal-article,researchgraph.com/doi/10.1016/j.jocrd.2013.05.003
Can the onset of type 2 diabetes be delayed by a group-based lifestyle intervention? A randomised control trial,2011,"Susan M. Moore, Elizabeth A. Hardie, Naomi J. Hackworth, Christine R. Critchley, Michael Kyrios, Simone A. Buzwell, Naomi A. Crafti",10.1080/08870440903548749,journal-article,researchgraph.com/doi/10.1080/08870440903548749
The Self in Psychopathology,2015,"Michael Kyrios, Barnaby Nelson, Claire Ahern, Thomas Fuchs, Josef Parnas",10.1159/000438876,journal-article,researchgraph.com/doi/10.1159/000438876
Experimental evidence for the influence of cognitions on compulsive buying,2014,"Paul McQueen, Richard Moulding, Michael Kyrios",10.1016/j.jbtep.2014.07.003,journal-article,researchgraph.com/doi/10.1016/j.jbtep.2014.07.003
Predictors of response to cognitive behaviour therapy for obsessive-compulsive disorder,2015,"Michael Kyrios, Celia Hordern, Daniel B. Fassnacht",10.1016/j.ijchp.2015.07.003,journal-article,researchgraph.com/doi/10.1016/j.ijchp.2015.07.003
Psychological Models of Hoarding,2014,Michael Kyrios,10.1093/oxfordhb/9780199937783.013.023,book,researchgraph.com/doi/10.1093/oxfordhb/9780199937783.013.023
"The Relationship Between Neuropsychological Performance, Cognitive Confidence, and Obsessive-Compulsive Phenomena: A Pilot Study",2011,"Kate FitzGerald, Maja Nedeljkovic, Richard Moulding, Michael Kyrios",10.1521/ijct.2011.4.1.51,journal-article,researchgraph.com/doi/10.1521/ijct.2011.4.1.51
Introduction to the Special Section: Cognitive-Behavioral and Neursscientific Approaches to Obsessive-Compulsive and Related Phenomena: Why the Need for an Interface?,2011,Michael Kyrios,10.1521/ijct.2011.4.1.1,journal-article,researchgraph.com/doi/10.1521/ijct.2011.4.1.1
Multifunctional Fe3O4 Nanoparticles Filled Polydopamine Hollow Rods for Antibacterial Biofilm Treatment,2023,"Huy Quang Tran, Husna Alam, Abigail Goff, Torben Daeneke, Mrinal Bhave, Aimin Yu",10.3390/molecules28052325,journal-article,researchgraph.com/doi/10.3390/molecules28052325
Unraveling the Effects of Cationic Peptides on Vesicle Structures: Insights into Peptide–Membrane Interactions,2023,"Rebecca Alfred, Gary Bryant, Jitendra P. Mata, Mrinal Bhave, Rohan M. Shah",10.1021/acsabm.3c00824,journal-article,researchgraph.com/doi/10.1021/acsabm.3c00824
Using Task Technology Fit Theory to Guide the Codesign of Mobile Clinical Decision Support Systems,2023,"Nalika Ulapane, Abdur Rahim Mohammad Forkan, Prem Prakash Jayaraman, Penelope Schofield, Kate Burbury, Nilmini Wickramasinghe",10.24251/hicss.2023.353,proceedings-article,researchgraph.com/doi/10.24251/hicss.2023.353
Machine Learning for Healthcare Applications,2023,"Nalika Ulapane, Amir Eslami Andargoli, Nilmini Wickramasingh",10.1201/9781032699745-13,book-chapter,researchgraph.com/doi/10.1201/9781032699745-13
Scoping Mobile Clinical Decision Support Systems to Enhance Design and Recording of Usage Data Effectively: A Suggested Approach,2022,"Nalika Ulapane, Nilmini Wickramasinghe",10.1007/978-3-030-95675-2_15,book-chapter,researchgraph.com/doi/10.1007/978-3-030-95675-2_15
Digital twin of patient in clinical workflow,2023,"Nilmini Wickramasinghe, Nalika Ulapane, Amir Andargoli, Nadeem Shuakat, Tuan Nguyen, John Zelcer, Stephen Vaughan",10.1071/rs23013,journal-article,researchgraph.com/doi/10.1071/rs23013
Enabling Cardiac Rehabilitation at Home: A Web-Based Solution,2024,"Nilmini Wickramasinghe, Nalika Ulapane, Sasan Adibi",10.18690/um.fov.4.2024.24,proceedings-article,researchgraph.com/doi/10.18690/um.fov.4.2024.24
"A Rubric to Guide the Design, Development and Assessment of Mobile Clinical Decision Support Systems",2022,Nalika Ulapane,10.18690/um.fov.4.2022.50,proceedings-article,researchgraph.com/doi/10.18690/um.fov.4.2022.50
Towards Discovering Digital Twins of Dementia Patients: Matching the Phases of Cognitive Decline,2022,"Nilmini Wickramasinghe, Nalika Ulapane, Tuan Anh Nguyen, Amir Andargoli, Chinedu Ossai, Nadeem Shuakat, John Zelcer",10.1002/alz.066336,journal-article,researchgraph.com/doi/10.1002/alz.066336
A Vision for Leveraging the Concept of Digital Twins to Support the Provision of Personalized Cancer Care,2022,"Nilmini Wickramasinghe, Prem Prakash Jayaraman, Abdur Rahim Mohammad Forkan, Nalika Ulapane, Rohit Kaul, Stephen Vaughan, John Zelcer",10.1109/mic.2021.3065381,journal-article,researchgraph.com/doi/10.1109/mic.2021.3065381
Digital twins to enable better precision and personalized dementia care,2022,"Nilmini Wickramasinghe, Nalika Ulapane, Amir Andargoli, Chinedu Ossai, Nadeem Shuakat, Tuan Nguyen, John Zelcer",10.1093/jamiaopen/ooac072,journal-article,researchgraph.com/doi/10.1093/jamiaopen/ooac072
Improving the lives of ethnically diverse family carers and people living with dementia using digital media resources – Protocol for the Draw-Care randomised controlled trial,2023,"Antonia Thodis, Thu-Ha Dang, Josefine Antoniades, Andrew S. Gilbert, Tuan Nguyen, Danijela Hlis, Mary Gurgone, Briony Dow, Claudia Cooper, Lily-Dongxia Xiao, Nilmini Wickramasinghe, Nalika Ulapane, Mathew Varghese, Santosh Loganathan, Joanne Enticott, Duncan Mortimer, Bianca Brijnath",10.1177/20552076231205733,journal-article,researchgraph.com/doi/10.1177/20552076231205733
A Possible Blockchain Architecture for Healthcare,2023,"Nalika Ulapane, Nilmini Wickramasinghe, Amir Eslami Andargoli, Belal Alsinglawi, Jan Miltner, Jule van de Logt, Pavlina Kröckel, Mathias Kraus, Freimut Bodendorf",10.1201/9781032699745-17,book-chapter,researchgraph.com/doi/10.1201/9781032699745-17
"<i>‘It’s Too nice’</i>
            : Adapting iSupport Lite for Ethnically Diverse Family Carers of a Person with Dementia",2023,"Thu Ha Dang, Antonia Thodis, Nalika Ulapane, Josefine Antoniades, Mary Gurgone, Tuan Nguyen, Andrew Gilbert, Nilmini Wickramasinghe, Mathew Varghese, Santosh Loganathan, Joanne Enticott, Duncan Mortimer, Briony Dow, Claudia Cooper, Lily Dongxia Xiao, Bianca Brijnath",10.1080/07317115.2023.2254296,journal-article,researchgraph.com/doi/10.1080/07317115.2023.2254296
Intelligent decision support systems for dementia care: A scoping review,2024,"Amirhossein Eslami Andargoli, Nalika Ulapane, Tuan Anh Nguyen, Nadeem Shuakat, John Zelcer, Nilmini Wickramasinghe",10.1016/j.artmed.2024.102815,journal-article,researchgraph.com/doi/10.1016/j.artmed.2024.102815
The Beliefs about Voices Questionnaire – Revised: A factor structure from 450 participants,2018,"Clara Strauss, Kenneth Hugdahl, Flavie Waters, Mark Hayward, Josef J. Bless, Liv E. Falkenberg, Bodil Kråkvik, Arve Egil Asbjørnsen, Erik Johnsen, Igne Sinkeviciute, Rune A. Kroken, Else-Marie Løberg, Neil Thomas",10.1016/j.psychres.2017.09.089,journal-article,researchgraph.com/doi/10.1016/j.psychres.2017.09.089
Psilocybin-assisted therapy for depression: How do we advance the field?,2019,"Sally E Meikle, Paul Liknaitzky, Susan L Rossell, Margaret Ross, Nigel Strauss, Neil Thomas, Greg Murray, Martin Williams, David J Castle",10.1177/0004867419888575,journal-article,researchgraph.com/doi/10.1177/0004867419888575
Comparing Primary Voice-Hearers with and without Hallucinations in Other Sensory Modalities,2021,"Wei Lin Toh, Neil Thomas, Susan L. Rossell",10.1159/000517455,journal-article,researchgraph.com/doi/10.1159/000517455
What's really wrong with cognitive behavioral therapy for psychosis?,2015,Neil Thomas,10.3389/fpsyg.2015.00323,journal-article,researchgraph.com/doi/10.3389/fpsyg.2015.00323
Web-based intervention to improve quality of life in late stage bipolar disorder (ORBIT): randomised controlled trial protocol,2018,"Kathryn Fletcher, Fiona Foley, Neil Thomas, Erin Michalak, Lesley Berk, Michael Berk, Steve Bowe, Sue Cotton, Lidia Engel, Sheri L. Johnson, Steven Jones, Michael Kyrios, Sara Lapsley, Cathrine Mihalopoulos, Tania Perich, Greg Murray",10.1186/s12888-018-1805-9,journal-article,researchgraph.com/doi/10.1186/s12888-018-1805-9
Predictors of overall and mental health-related internet use in adults with psychosis,2019,"Kristi-Ann Villagonzalo, Chelsea Arnold, John Farhall, Susan L. Rossell, Fiona Foley, Neil Thomas",10.1016/j.psychres.2019.05.034,journal-article,researchgraph.com/doi/10.1016/j.psychres.2019.05.034
The ice in voices: Understanding negative content in auditory-verbal hallucinations,2019,"Frank Larøi, Neil Thomas, André Aleman, Charles Fernyhough, Sam Wilkinson, Felicity Deamer, Simon McCarthy-Jones",10.1016/j.cpr.2018.11.001,journal-article,researchgraph.com/doi/10.1016/j.cpr.2018.11.001
Measuring recovery in Arabic countries: Translation of the self-efficacy for personal recovery scale,2021,"Nashwa Ibrahim, Christopher Newby, Neil Thomas, Mike Slade",10.1177/00207640211028604,journal-article,researchgraph.com/doi/10.1177/00207640211028604
A pilot digital intervention targeting loneliness in young people with psychosis,2019,"Michelle H. Lim, John F. M. Gleeson, Thomas L. Rodebaugh, Robert Eres, Katrina M. Long, Kit Casey, Jo-Anne M. Abbott, Neil Thomas, David L. Penn",10.1007/s00127-019-01681-2,journal-article,researchgraph.com/doi/10.1007/s00127-019-01681-2
Going Online Together: The Potential for Mental Health Workers to Integrate Recovery Oriented E-Mental Health Resources Into Their Practice,2018,"Anne Williams, Ellie Fossey, John Farhall, Fiona Foley, Neil Thomas",10.1080/00332747.2018.1492852,journal-article,researchgraph.com/doi/10.1080/00332747.2018.1492852
Relating Therapy for distressing auditory hallucinations: A pilot randomized controlled trial,2017,"Mark Hayward, Anna-Marie Jones, Leanne Bogen-Johnston, Neil Thomas, Clara Strauss",10.1016/j.schres.2016.11.019,journal-article,researchgraph.com/doi/10.1016/j.schres.2016.11.019
"The relationship between anxiety, depression, and subtypes of negative auditory verbal hallucination (AVH) content in affective and non-affective psychosis",2020,"Monique Scott, Susan L Rossell, Wei Lin Toh, Neil Thomas",10.1016/j.psychres.2020.113500,journal-article,researchgraph.com/doi/10.1016/j.psychres.2020.113500
Dysmorphic concern is related to delusional proneness and negative affect in a community sample,2016,"Charlotte Keating, Neil Thomas, Jessie Stephens, David J. Castle, Susan L. Rossell",10.1016/j.psychres.2016.03.052,journal-article,researchgraph.com/doi/10.1016/j.psychres.2016.03.052
Executive dysfunction in psychosis following traumatic brain injury (PFTBI),2015,"Batty Rachel, Francis Andrew, Thomas Neil, Hopwood Malcolm, Ponsford Jennie, Rossell Susan",10.3389/conf.fnhum.2015.217.00023,journal-article,researchgraph.com/doi/10.3389/conf.fnhum.2015.217.00023
Randomised controlled trial of a digitally assisted low intensity intervention to promote personal recovery in persisting psychosis: SMART-Therapy study protocol,2016,"Neil Thomas, John Farhall, Fiona Foley, Susan L. Rossell, David Castle, Emma Ladd, Denny Meyer, Cathrine Mihalopoulos, Nuwan Leitan, Cassy Nunan, Rosalie Frankish, Tara Smark, Sue Farnan, Bronte McLeod, Leon Sterling, Greg Murray, Ellie Fossey, Lisa Brophy, Michael Kyrios",10.1186/s12888-016-1024-1,journal-article,researchgraph.com/doi/10.1186/s12888-016-1024-1
O2.7. CAN THEY HEAR IT? DO PATIENTS WITH AUDITORY VERBAL HALLUCINATIONS HAVE AUDITORY PROCESSING DEFICITS?,2018,"Susan Rossell, Eric Tan, Nathan Wilson, Wei Lin Toh, Sean Carruthers, Philip Sumner, Matthew Hughes, Neil Thomas",10.1093/schbul/sby015.197,journal-article,researchgraph.com/doi/10.1093/schbul/sby015.197
Is mindfulness for psychosis harmful? Deconstructing a myth,2020,"Kerem Böge, Neil Thomas, Pamela Jacobsen",10.1192/bjp.2020.165,journal-article,researchgraph.com/doi/10.1192/bjp.2020.165
Engaging With a Web-Based Psychosocial Intervention for Psychosis: Qualitative Study of User Experiences (Preprint),2019,"Chelsea Arnold, Anne Williams, Neil Thomas",10.2196/preprints.16730,posted-content,researchgraph.com/doi/10.2196/preprints.16730
Is loneliness a feasible treatment target in psychosis?,2019,"M. H. Lim, D. L. Penn, N. Thomas, J. F. M. Gleeson",10.1007/s00127-019-01731-9,journal-article,researchgraph.com/doi/10.1007/s00127-019-01731-9
Multimodal versus unimodal auditory hallucinations in clinical practice: Clinical characteristics and treatment outcomes,2021,"Johanna C. Badcock, Rachel Brand, Neil Thomas, Mark Hayward, Georgie Paulik",10.1016/j.psychres.2021.113754,journal-article,researchgraph.com/doi/10.1016/j.psychres.2021.113754
Are people with severe mental illness ready for online interventions? Access and use of the Internet in Australian mental health service users,2017,"Neil Thomas, Fiona Foley, Katrina Lindblom, Stuart Lee",10.1177/1039856217689913,journal-article,researchgraph.com/doi/10.1177/1039856217689913
Auditory verbal hallucinations in bipolar disorder (BD) and major depressive disorder (MDD): A systematic review,2015,"Wei Lin Toh, Neil Thomas, Susan L. Rossell",10.1016/j.jad.2015.05.040,journal-article,researchgraph.com/doi/10.1016/j.jad.2015.05.040
Being inspired that recovery after experiencing psychosis is possible: Consumers� experiences of engaging with video-based lived experience through a recovery-oriented website,2018,"Anne Williams, Ellie Fossey, John Farhall, Fiona Foley, Neil Thomas",10.2196/preprints.9934.a,posted-content,researchgraph.com/doi/10.2196/preprints.9934.a
Hallucinations Beyond Voices: A Conceptual Review of the Phenomenology of Altered Perception in Psychosis,2019,"Elizabeth Pienkos, Anne Giersch, Marie Hansen, Clara Humpston, Simon McCarthy-Jones, Aaron Mishara, Barnaby Nelson, Sohee Park, Andrea Raballo, Rajiv Sharma, Neil Thomas, Cherise Rosen",10.1093/schbul/sby057,journal-article,researchgraph.com/doi/10.1093/schbul/sby057
Do trauma-focussed psychological interventions have an effect on psychotic symptoms? A systematic review and meta-analysis,2018,"Rachel M. Brand, Carla McEnery, Susan Rossell, Sarah Bendall, Neil Thomas",10.1016/j.schres.2017.08.037,journal-article,researchgraph.com/doi/10.1016/j.schres.2017.08.037
Treatment-Resistant Schizophrenia: Treatment Response and Resistance in Psychosis (TRRIP) Working Group Consensus Guidelines on Diagnosis and Terminology,2017,"Oliver D. Howes, Rob McCutcheon, Ofer Agid, Andrea de Bartolomeis, Nico J.M. van Beveren, Michael L. Birnbaum, Michael A.P. Bloomfield, Rodrigo A. Bressan, Robert W. Buchanan, William T. Carpenter, David J. Castle, Leslie Citrome, Zafiris J. Daskalakis, Michael Davidson, Richard J. Drake, Serdar Dursun, Bjørn H. Ebdrup, Helio Elkis, Peter Falkai, W. Wolfgang Fleischacker, Ary Gadelha, Fiona Gaughran, Birte Y. Glenthøj, Ariel Graff-Guerrero, Jaime E.C. Hallak, William G. Honer, James Kennedy, Bruce J. Kinon, Stephen M. Lawrie, Jimmy Lee, F. Markus Leweke, James H. MacCabe, Carolyn B. McNabb, Herbert Meltzer, Hans-Jürgen Möller, Shinchiro Nakajima, Christos Pantelis, Tiago Reis Marques, Gary Remington, Susan L. Rossell, Bruce R. Russell, Cynthia O. Siu, Takefumi Suzuki, Iris E. Sommer, David Taylor, Neil Thomas, Alp Üçok, Daniel Umbricht, James T.R. Walters, John Kane, Christoph U. Correll",10.1176/appi.ajp.2016.16050503,journal-article,researchgraph.com/doi/10.1176/appi.ajp.2016.16050503
Developing Internet interventions to target the individual impact of stigma in health conditions,2015,"Neil Thomas, Bronte McLeod, Nev Jones, Jo-Anne Abbott",10.1016/j.invent.2015.01.003,journal-article,researchgraph.com/doi/10.1016/j.invent.2015.01.003
Engagement with online psychosocial interventions for psychosis: A review and synthesis of relevant factors,2021,"Chelsea Arnold, John Farhall, Kristi-Ann Villagonzalo, Kriti Sharma, Neil Thomas",10.1016/j.invent.2021.100411,journal-article,researchgraph.com/doi/10.1016/j.invent.2021.100411
"A Review of Multimodal Hallucinations: Categorization, Assessment, Theoretical Perspectives, and Clinical Recommendations",2020,"Marcella Montagnese, Pantelis Leptourgos, Charles Fernyhough, Flavie Waters, Frank Larøi, Renaud Jardri, Simon McCarthy-Jones, Neil Thomas, Rob Dudley, John-Paul Taylor, Daniel Collerton, Prabitha Urwyler",10.1093/schbul/sbaa101,journal-article,researchgraph.com/doi/10.1093/schbul/sbaa101
Impact of Jointly Using an e–Mental Health Resource (Self-Management And Recovery Technology) on Interactions Between Service Users Experiencing Severe Mental Illness and Community Mental Health Worke,2020,"Anne Williams, Ellie Fossey, John Farhall, Fiona Foley, Neil Thomas",10.2196/preprints.25998,posted-content,researchgraph.com/doi/10.2196/preprints.25998
Mindfulness-based online intervention to improve quality of life in late-stage bipolar disorder: A randomized clinical trial.,2021,"Greg Murray, Neil Thomas, Erin E. Michalak, Steven H. Jones, Sara Lapsley, Steven J. Bowe, Fiona Foley, Kathryn Fletcher, Tania Perich, Sheri L. Johnson, Sue Cotton, Lesley Berk, Cathrine Mihalopoulos, Michael Kyrios, Michael Berk",10.1037/ccp0000684,journal-article,researchgraph.com/doi/10.1037/ccp0000684
‘Like jumping off a ledge into the water’: A qualitative study of trauma‐focussed imaginal exposure for hearing voices,2021,"Natalie Feary, Rachel Brand, Anne Williams, Neil Thomas",10.1111/papt.12372,journal-article,researchgraph.com/doi/10.1111/papt.12372
Investigating the Lived Experience of Recovery in People Who Hear Voices,2015,"Adèle de Jager, Paul Rhodes, Vanessa Beavan, Douglas Holmes, Kathryn McCabe, Neil Thomas, Simon McCarthy-Jones, Debra Lampshire, Mark Hayward",10.1177/1049732315581602,journal-article,researchgraph.com/doi/10.1177/1049732315581602
Internet-based interventions to support recovery and self-management: A scoping review of their use by mental health service users and providers together,2019,"Anne Williams, John Farhall, Ellie Fossey, Neil Thomas",10.1186/s12888-019-2153-0,journal-article,researchgraph.com/doi/10.1186/s12888-019-2153-0
Auditory verbal hallucinations (AVHs) and related psychotic phenomena in mood disorders: analysis of the 2010 Survey of High Impact Psychosis (SHIP) data,2016,"Wei Lin Toh, David J. Castle, Neil Thomas, Johanna C. Badcock, Susan L. Rossell",10.1016/j.psychres.2016.06.035,journal-article,researchgraph.com/doi/10.1016/j.psychres.2016.06.035
